CIF file,Number of atoms in supercell,Min distance,Processing time (s)
1008259.cif,212,N/A,0.002
1604638.cif,412,N/A,0.002
1049577.cif,456,N/A,0.002
560342.cif,212,N/A,0.002
1150754.cif,211,N/A,0.002
1907700.cif,206,N/A,0.002
1611547.cif,326,N/A,0.002
1803572.cif,296,N/A,0.002
461048.cif,440,N/A,0.002
311086.cif,212,N/A,0.002
1813749.cif,402,N/A,0.002
1013645.cif,199,N/A,0.003
537554.cif,206,N/A,0.002
309839.cif,206,N/A,0.003
535343.cif,206,N/A,0.004
1924697.cif,129,N/A,0.002
458839.cif,206,N/A,0.003
1612700.cif,228,N/A,0.002
1008265.cif,212,N/A,0.003
1826094.cif,413,N/A,0.004
300809.cif,212,N/A,0.002
1008271.cif,316,N/A,0.002
1923852.cif,169,N/A,0.002
1837833.cif,316,N/A,0.002
1819516.cif,267,N/A,0.003
461074.cif,296,N/A,0.002
1013651.cif,199,N/A,0.002
1406915.cif,266,N/A,0.006
537540.cif,333,N/A,0.003
1926094.cif,228,N/A,0.001
1940311.cif,360,N/A,0.002
560418.cif,267,N/A,0.002
538698.cif,228,N/A,0.001
1248174.cif,206,N/A,0.002
1612927.cif,183,N/A,0.001
1144090.cif,265,N/A,0.002
301524.cif,212,N/A,0.002
548419.cif,175,N/A,0.002
1406054.cif,464,N/A,0.002
1533945.cif,212,N/A,0.002
1623250.cif,206,N/A,0.002
1434958.cif,212,N/A,0.001
554024.cif,212,N/A,0.001
542646.cif,429,N/A,0.002
1211015.cif,326,N/A,0.003
1248160.cif,333,N/A,0.002
1944188.cif,233,N/A,0.002
382639.cif,212,N/A,0.001
1612933.cif,183,N/A,0.001
1603816.cif,296,N/A,0.002
300160.cif,212,N/A,0.002
1960016.cif,212,N/A,0.001
1340266.cif,228,N/A,0.001
312564.cif,212,N/A,0.001
1013686.cif,199,N/A,0.002
537597.cif,212,N/A,0.001
1937628.cif,183,N/A,0.001
555312.cif,296,N/A,0.002
1232196.cif,212,N/A,0.002
1723278.cif,266,N/A,0.002
312570.cif,212,N/A,0.002
1322391.cif,206,N/A,0.002
1820354.cif,206,N/A,0.002
1828708.cif,316,N/A,0.002
1964264.cif,194,N/A,0.002
300174.cif,212,N/A,0.002
548800.cif,332,N/A,0.002
1907516.cif,228,N/A,0.001
539021.cif,334,N/A,0.002
536312.cif,212,N/A,0.002
1233707.cif,180,N/A,0.002
1626843.cif,266,N/A,0.002
1908143.cif,296,N/A,0.002
1142620.cif,228,N/A,0.001
1231110.cif,272,N/A,0.001
1231104.cif,272,N/A,0.001
1008729.cif,296,N/A,0.002
1714629.cif,206,N/A,0.002
539753.cif,334,N/A,0.002
1621686.cif,206,N/A,0.002
1148319.cif,194,N/A,0.002
536306.cif,212,N/A,0.002
1501288.cif,212,N/A,0.002
537030.cif,175,N/A,0.002
1008067.cif,464,N/A,0.002
1007354.cif,175,N/A,0.002
1145615.cif,394,N/A,0.002
1122856.cif,296,N/A,0.002
1008701.cif,296,N/A,0.002
1013447.cif,183,N/A,0.001
537742.cif,175,N/A,0.002
1927188.cif,180,N/A,0.002
1239564.cif,296,N/A,0.002
1537060.cif,178,N/A,0.001
1008715.cif,296,N/A,0.002
1531411.cif,332,N/A,0.002
1144279.cif,233,N/A,0.002
535633.cif,466,N/A,0.004
1008073.cif,300,N/A,0.003
1810730.cif,472,N/A,0.003
1013335.cif,296,N/A,0.004
1627220.cif,332,N/A,0.003
459064.cif,212,N/A,0.003
1008926.cif,296,N/A,0.004
1938043.cif,212,N/A,0.004
381126.cif,150,N/A,0.004
1243237.cif,175,N/A,0.004
1008932.cif,356,N/A,0.012
1633269.cif,402,N/A,0.008
548627.cif,212,N/A,0.005
1926527.cif,450,N/A,0.005
1121344.cif,286,N/A,0.004
1042813.cif,258,N/A,0.004
1013484.cif,284,N/A,0.002
315009.cif,332,N/A,0.003
300362.cif,212,N/A,0.002
300376.cif,212,N/A,0.002
1236694.cif,193,N/A,0.002
1013490.cif,284,N/A,0.004
539974.cif,414,N/A,0.003
540509.cif,206,N/A,0.002
548633.cif,212,N/A,0.003
300410.cif,333,N/A,0.003
460752.cif,212,N/A,0.002
536266.cif,212,N/A,0.002
1804619.cif,450,N/A,0.005
1803610.cif,296,N/A,0.002
1231064.cif,233,N/A,0.002
1008649.cif,160,N/A,0.002
1231070.cif,233,N/A,0.003
1321511.cif,284,N/A,0.003
1234108.cif,206,N/A,0.003
460746.cif,212,N/A,0.002
548790.cif,212,N/A,0.002
1831846.cif,210,N/A,0.004
1231058.cif,233,N/A,0.003
1008675.cif,212,N/A,0.002
459689.cif,212,N/A,0.002
538511.cif,296,N/A,0.002
1646027.cif,236,N/A,0.002
1320627.cif,286,N/A,0.003
1803638.cif,212,N/A,0.002
1013527.cif,332,N/A,0.003
1217935.cif,160,N/A,0.002
1008107.cif,268,N/A,0.002
1818218.cif,414,N/A,0.003
1007234.cif,206,N/A,0.001
548784.cif,212,N/A,0.002
535974.cif,296,N/A,0.002
459110.cif,212,N/A,0.002
1933062.cif,175,N/A,0.002
1602842.cif,402,N/A,0.002
1217706.cif,266,N/A,0.002
1229830.cif,332,N/A,0.002
1222965.cif,228,N/A,0.001
537811.cif,228,N/A,0.001
1024374.cif,360,N/A,0.002
1601387.cif,414,N/A,0.003
1624649.cif,228,N/A,0.001
300558.cif,212,N/A,0.002
1614952.cif,228,N/A,0.001
379925.cif,212,N/A,0.002
459104.cif,212,N/A,0.002
1804816.cif,160,N/A,0.001
1415410.cif,360,N/A,0.002
300570.cif,212,N/A,0.001
1236092.cif,466,N/A,0.004
535948.cif,296,N/A,0.002
537187.cif,212,N/A,0.002
1824536.cif,356,N/A,0.002
536299.cif,212,N/A,0.002
1803837.cif,296,N/A,0.002
1824250.cif,267,N/A,0.002
552079.cif,296,N/A,0.002
300202.cif,332,N/A,0.002
539800.cif,212,N/A,0.001
302415.cif,317,N/A,0.002
312160.cif,495,N/A,0.002
1415404.cif,360,N/A,0.002
300564.cif,212,N/A,0.002
1221075.cif,323,N/A,0.002
1828697.cif,380,N/A,0.002
458971.cif,332,N/A,0.002
1406691.cif,495,N/A,0.002
1641576.cif,207,N/A,0.002
462347.cif,175,N/A,0.002
539357.cif,500,N/A,0.003
301493.cif,296,N/A,0.002
1221061.cif,296,N/A,0.002
458965.cif,332,N/A,0.002
460222.cif,296,N/A,0.002
1144133.cif,206,N/A,0.002
1224131.cif,266,N/A,0.002
1010238.cif,296,N/A,0.002
535237.cif,175,N/A,0.002
1819310.cif,482,N/A,0.002
300969.cif,212,N/A,0.001
1008311.cif,228,N/A,0.001
1216183.cif,206,N/A,0.002
558959.cif,296,N/A,0.002
537346.cif,413,N/A,0.002
537352.cif,413,N/A,0.002
1928873.cif,466,N/A,0.004
1008305.cif,180,N/A,0.001
1820585.cif,304,N/A,0.002
1000759.cif,194,N/A,0.002
1719721.cif,268,N/A,0.001
1535501.cif,160,N/A,0.001
1224125.cif,370,N/A,0.002
1930782.cif,332,N/A,0.002
1406861.cif,296,N/A,0.002
549115.cif,212,N/A,0.001
1410030.cif,394,N/A,0.002
1952852.cif,429,N/A,0.003
1007963.cif,326,N/A,0.003
1228092.cif,212,N/A,0.001
1128994.cif,300,N/A,0.002
1406134.cif,212,N/A,0.001
1631720.cif,233,N/A,0.001
1828126.cif,266,N/A,0.002
1642080.cif,175,N/A,0.002
312410.cif,212,N/A,0.001
302165.cif,206,N/A,0.002
1240306.cif,356,N/A,0.002
1821894.cif,394,N/A,0.002
1405401.cif,450,N/A,0.003
1826123.cif,109,N/A,0.001
301478.cif,206,N/A,0.002
1013080.cif,326,N/A,0.003
537391.cif,212,N/A,0.001
551772.cif,212,N/A,0.001
1212454.cif,394,N/A,0.002
1634102.cif,296,N/A,0.002
537390.cif,212,N/A,0.001
301479.cif,206,N/A,0.002
1634103.cif,296,N/A,0.002
551773.cif,212,N/A,0.002
1921659.cif,212,N/A,0.002
312411.cif,212,N/A,0.001
1405400.cif,450,N/A,0.003
1522915.cif,210,N/A,0.001
302164.cif,333,N/A,0.002
1828127.cif,266,N/A,0.002
1631721.cif,233,N/A,0.002
1406121.cif,212,N/A,0.001
1008489.cif,228,N/A,0.001
1007962.cif,326,N/A,0.003
1412626.cif,193,N/A,0.002
1622991.cif,450,N/A,0.003
549114.cif,212,N/A,0.001
1406135.cif,212,N/A,0.002
1128995.cif,300,N/A,0.002
1228093.cif,212,N/A,0.001
1000758.cif,194,N/A,0.002
1719720.cif,268,N/A,0.001
1820584.cif,304,N/A,0.002
537353.cif,413,N/A,0.002
1406860.cif,296,N/A,0.002
535236.cif,175,N/A,0.002
1010239.cif,296,N/A,0.002
1406874.cif,296,N/A,0.002
1013730.cif,175,N/A,0.002
1224130.cif,272,N/A,0.002
537347.cif,413,N/A,0.002
300968.cif,212,N/A,0.002
1008310.cif,464,N/A,0.002
1128942.cif,414,N/A,0.002
460223.cif,296,N/A,0.002
1146731.cif,180,N/A,0.001
458970.cif,332,N/A,0.002
1828696.cif,175,N/A,0.002
1830967.cif,180,N/A,0.001
539801.cif,212,N/A,0.001
382572.cif,212,N/A,0.001
1817857.cif,175,N/A,0.002
300203.cif,332,N/A,0.002
300565.cif,212,N/A,0.001
1415405.cif,360,N/A,0.002
1011494.cif,228,N/A,0.001
1605862.cif,228,N/A,0.001
312161.cif,495,N/A,0.002
537192.cif,212,N/A,0.001
1636270.cif,450,N/A,0.003
536298.cif,212,N/A,0.001
312175.cif,228,N/A,0.001
1236093.cif,466,N/A,0.004
535949.cif,296,N/A,0.002
300571.cif,212,N/A,0.001
1824251.cif,323,N/A,0.002
1803836.cif,180,N/A,0.001
1601386.cif,414,N/A,0.002
1215104.cif,212,N/A,0.001
537810.cif,228,N/A,0.001
459105.cif,212,N/A,0.001
1614953.cif,228,N/A,0.001
1624648.cif,228,N/A,0.001
459111.cif,212,N/A,0.002
535975.cif,296,N/A,0.002
1229831.cif,212,N/A,0.001
1217707.cif,266,N/A,0.002
1635037.cif,210,N/A,0.001
1933063.cif,175,N/A,0.002
1217934.cif,160,N/A,0.001
1803639.cif,212,N/A,0.001
548785.cif,212,N/A,0.001
1007235.cif,206,N/A,0.001
1818219.cif,414,N/A,0.002
1008106.cif,268,N/A,0.001
1008112.cif,212,N/A,0.001
1612311.cif,270,N/A,0.002
548791.cif,212,N/A,0.001
1320626.cif,286,N/A,0.002
1013532.cif,212,N/A,0.001
538510.cif,296,N/A,0.002
1231059.cif,233,N/A,0.002
538538.cif,316,N/A,0.001
1217908.cif,180,N/A,0.001
1231071.cif,233,N/A,0.002
460747.cif,212,N/A,0.002
1042755.cif,332,N/A,0.002
1245096.cif,456,N/A,0.002
1804618.cif,450,N/A,0.003
536267.cif,212,N/A,0.001
460753.cif,333,N/A,0.002
1231065.cif,233,N/A,0.001
1803611.cif,296,N/A,0.002
540508.cif,228,N/A,0.001
539975.cif,212,N/A,0.001
1013491.cif,284,N/A,0.002
300377.cif,212,N/A,0.001
1042806.cif,206,N/A,0.002
1627209.cif,180,N/A,0.001
548632.cif,212,N/A,0.001
1005595.cif,212,N/A,0.001
1633268.cif,402,N/A,0.002
300363.cif,212,N/A,0.002
1646191.cif,206,N/A,0.002
315008.cif,332,N/A,0.002
1013485.cif,284,N/A,0.002
1008933.cif,296,N/A,0.002
1721888.cif,228,N/A,0.001
1243236.cif,175,N/A,0.002
1965437.cif,206,N/A,0.002
459065.cif,212,N/A,0.001
1532694.cif,466,N/A,0.004
381127.cif,150,N/A,0.002
1008927.cif,228,N/A,0.001
1531410.cif,212,N/A,0.001
1008714.cif,296,N/A,0.002
1229776.cif,233,N/A,0.001
1234041.cif,175,N/A,0.002
1013334.cif,430,N/A,0.003
1640251.cif,440,N/A,0.002
1611778.cif,228,N/A,0.001
1810731.cif,472,N/A,0.003
1008072.cif,300,N/A,0.002
1145614.cif,394,N/A,0.002
1007355.cif,175,N/A,0.002
1008066.cif,464,N/A,0.002
535626.cif,466,N/A,0.004
537031.cif,175,N/A,0.002
1013446.cif,183,N/A,0.001
1324534.cif,385,N/A,0.002
1008700.cif,296,N/A,0.002
539752.cif,334,N/A,0.002
1229992.cif,356,N/A,0.002
300388.cif,212,N/A,0.002
1008728.cif,296,N/A,0.002
1231105.cif,272,N/A,0.001
1047759.cif,212,N/A,0.001
536307.cif,212,N/A,0.001
1148318.cif,194,N/A,0.002
1406280.cif,456,N/A,0.002
536313.cif,212,N/A,0.002
539020.cif,334,N/A,0.002
1907517.cif,212,N/A,0.002
548801.cif,332,N/A,0.002
1231111.cif,272,N/A,0.001
1142621.cif,228,N/A,0.002
1908142.cif,296,N/A,0.002
1626842.cif,266,N/A,0.002
1234069.cif,179,N/A,0.001
300175.cif,212,N/A,0.001
1964265.cif,194,N/A,0.002
1828709.cif,175,N/A,0.002
1630211.cif,284,N/A,0.002
1013687.cif,199,N/A,0.002
1340267.cif,482,N/A,0.002
1960017.cif,212,N/A,0.001
300161.cif,212,N/A,0.001
555313.cif,296,N/A,0.002
542647.cif,429,N/A,0.002
301531.cif,175,N/A,0.002
1434959.cif,160,N/A,0.001
1623251.cif,206,N/A,0.002
1533944.cif,212,N/A,0.002
1406055.cif,464,N/A,0.002
1410637.cif,212,N/A,0.002
1802876.cif,175,N/A,0.002
1723245.cif,365,N/A,0.002
1612932.cif,183,N/A,0.002
382638.cif,212,N/A,0.001
1248161.cif,333,N/A,0.002
1211014.cif,326,N/A,0.003
1612926.cif,183,N/A,0.001
2060305.cif,212,N/A,0.002
538699.cif,228,N/A,0.001
1802862.cif,332,N/A,0.002
1232801.cif,169,N/A,0.001
548418.cif,175,N/A,0.002
1410623.cif,212,N/A,0.001
301525.cif,296,N/A,0.002
300808.cif,334,N/A,0.002
1008270.cif,175,N/A,0.002
1147215.cif,429,N/A,0.002
1150769.cif,211,N/A,0.002
1926095.cif,206,N/A,0.002
1406914.cif,266,N/A,0.002
1921922.cif,175,N/A,0.002
1013650.cif,199,N/A,0.002
461075.cif,296,N/A,0.002
1819517.cif,267,N/A,0.002
1837832.cif,228,N/A,0.001
458838.cif,206,N/A,0.002
1612701.cif,228,N/A,0.001
1709335.cif,450,N/A,0.003
535342.cif,316,N/A,0.001
537555.cif,206,N/A,0.002
1013644.cif,212,N/A,0.002
1534018.cif,206,N/A,0.002
1907701.cif,206,N/A,0.002
1150755.cif,211,N/A,0.002
1722826.cif,228,N/A,0.001
560343.cif,212,N/A,0.002
1049576.cif,456,N/A,0.002
1142351.cif,233,N/A,0.002
311087.cif,212,N/A,0.001
1522134.cif,261,N/A,0.002
1803573.cif,296,N/A,0.002
537569.cif,495,N/A,0.002
1819259.cif,267,N/A,0.002
1008258.cif,253,N/A,0.001
300820.cif,212,N/A,0.001
1142345.cif,419,N/A,0.003
1601741.cif,206,N/A,0.002
1803571.cif,296,N/A,0.002
1049574.cif,456,N/A,0.002
1142353.cif,419,N/A,0.003
560341.cif,212,N/A,0.002
1150757.cif,211,N/A,0.002
1907703.cif,206,N/A,0.002
1611544.cif,222,N/A,0.001
1901366.cif,420,N/A,0.002
536113.cif,233,N/A,0.002
1601743.cif,206,N/A,0.002
1611550.cif,175,N/A,0.002
300822.cif,212,N/A,0.001
1433985.cif,206,N/A,0.002
555488.cif,212,N/A,0.002
551836.cif,212,N/A,0.002
1521403.cif,284,N/A,0.002
1819515.cif,267,N/A,0.002
1830187.cif,175,N/A,0.002
537543.cif,333,N/A,0.002
1406916.cif,266,N/A,0.002
1013652.cif,199,N/A,0.002
1926097.cif,206,N/A,0.002
1235639.cif,266,N/A,0.002
1008272.cif,210,N/A,0.001
1008266.cif,180,N/A,0.001
537557.cif,206,N/A,0.002
1013646.cif,199,N/A,0.002
535340.cif,316,N/A,0.002
1709337.cif,228,N/A,0.003
1211016.cif,326,N/A,0.003
552330.cif,228,N/A,0.002
1201205.cif,284,N/A,0.003
1702289.cif,228,N/A,0.002
1533946.cif,332,N/A,0.003
1406057.cif,464,N/A,0.002
1623253.cif,228,N/A,0.001
301533.cif,212,N/A,0.002
542645.cif,429,N/A,0.003
1008299.cif,253,N/A,0.002
380987.cif,228,N/A,0.002
1960029.cif,212,N/A,0.002
1802860.cif,212,N/A,0.002
1936247.cif,268,N/A,0.002
312573.cif,212,N/A,0.002
1322392.cif,206,N/A,0.002
300177.cif,212,N/A,0.002
1964267.cif,194,N/A,0.006
1227598.cif,498,N/A,0.003
1011938.cif,333,N/A,0.003
1232195.cif,323,N/A,0.002
1939606.cif,212,N/A,0.002
555311.cif,296,N/A,0.002
1816829.cif,267,N/A,0.002
300163.cif,212,N/A,0.002
1960015.cif,212,N/A,0.002
1630207.cif,270,N/A,0.002
1013685.cif,199,N/A,0.002
380005.cif,413,N/A,0.002
1621685.cif,206,N/A,0.002
536305.cif,212,N/A,0.001
1229748.cif,212,N/A,0.001
1231107.cif,272,N/A,0.001
1829830.cif,295,N/A,0.002
1718010.cif,175,N/A,0.002
539750.cif,334,N/A,0.002
1430042.cif,429,N/A,0.002
303697.cif,296,N/A,0.002
1626840.cif,266,N/A,0.002
539744.cif,420,N/A,0.002
1142623.cif,212,N/A,0.002
1323265.cif,228,N/A,0.001
1008058.cif,228,N/A,0.001
548803.cif,466,N/A,0.004
1907515.cif,228,N/A,0.002
536311.cif,212,N/A,0.002
539022.cif,334,N/A,0.002
1324244.cif,261,N/A,0.002
1008070.cif,300,N/A,0.002
1640253.cif,440,N/A,0.002
1013336.cif,183,N/A,0.002
537027.cif,175,N/A,0.002
1234043.cif,175,N/A,0.002
1229774.cif,233,N/A,0.002
1008716.cif,296,N/A,0.002
1612501.cif,183,N/A,0.001
1008702.cif,296,N/A,0.002
1013444.cif,183,N/A,0.002
535624.cif,466,N/A,0.004
1007357.cif,175,N/A,0.002
459098.cif,212,N/A,0.002
1145616.cif,394,N/A,0.002
1008064.cif,228,N/A,0.001
311522.cif,332,N/A,0.003
1243234.cif,175,N/A,0.002
559067.cif,212,N/A,0.002
1008931.cif,212,N/A,0.002
1142838.cif,212,N/A,0.002
1008925.cif,356,N/A,0.003
459067.cif,212,N/A,0.002
1142186.cif,445,N/A,0.002
1612298.cif,150,N/A,0.001
1965435.cif,350,N/A,0.002
1935202.cif,350,N/A,0.002
548630.cif,212,N/A,0.001
1049789.cif,494,N/A,0.004
1048497.cif,333,N/A,0.002
300375.cif,212,N/A,0.002
1236697.cif,413,N/A,0.002
1013493.cif,210,N/A,0.002
1013487.cif,284,N/A,0.002
300361.cif,212,N/A,0.001
1042810.cif,223,N/A,0.002
557704.cif,206,N/A,0.002
536271.cif,212,N/A,0.002
1042757.cif,426,N/A,0.002
1008138.cif,272,N/A,0.002
1231073.cif,233,N/A,0.002
1430136.cif,206,N/A,0.002
1321512.cif,284,N/A,0.002
1803607.cif,296,N/A,0.002
1803613.cif,296,N/A,0.002
1646018.cif,236,N/A,0.002
1231067.cif,233,N/A,0.002
1612449.cif,228,N/A,0.001
301692.cif,212,N/A,0.002
460751.cif,212,N/A,0.002
1042743.cif,326,N/A,0.002
538248.cif,228,N/A,0.001
1232208.cif,175,N/A,0.002
1007237.cif,206,N/A,0.001
1225984.cif,193,N/A,0.002
548787.cif,212,N/A,0.001
1217936.cif,160,N/A,0.001
1730818.cif,272,N/A,0.001
538512.cif,296,N/A,0.002
548793.cif,332,N/A,0.002
1831845.cif,210,N/A,0.001
1405628.cif,448,N/A,0.003
1614951.cif,228,N/A,0.001
459107.cif,212,N/A,0.001
1611829.cif,326,N/A,0.003
548778.cif,212,N/A,0.001
1804815.cif,160,N/A,0.001
560792.cif,228,N/A,0.001
537812.cif,228,N/A,0.001
1211360.cif,183,N/A,0.001
1008689.cif,356,N/A,0.003
1933061.cif,175,N/A,0.002
1217705.cif,266,N/A,0.002
1229833.cif,212,N/A,0.001
1602841.cif,402,N/A,0.002
1833075.cif,212,N/A,0.002
535977.cif,296,N/A,0.002
459113.cif,212,N/A,0.001
312163.cif,212,N/A,0.001
1140815.cif,175,N/A,0.002
548744.cif,180,N/A,0.001
1415407.cif,360,N/A,0.002
300567.cif,212,N/A,0.001
381079.cif,228,N/A,0.001
302416.cif,317,N/A,0.002
1803834.cif,212,N/A,0.001
1211348.cif,267,N/A,0.002
1231098.cif,233,N/A,0.002
555067.cif,332,N/A,0.002
1236091.cif,217,N/A,0.002
537184.cif,212,N/A,0.001
1824535.cif,356,N/A,0.002
458966.cif,332,N/A,0.002
460221.cif,296,N/A,0.002
1048078.cif,228,N/A,0.001
462350.cif,175,N/A,0.002
1606158.cif,293,N/A,0.002
1729811.cif,180,N/A,0.001
301490.cif,332,N/A,0.002
1435258.cif,160,N/A,0.001
1406862.cif,296,N/A,0.002
1212494.cif,333,N/A,0.002
1627800.cif,160,N/A,0.001
1638920.cif,228,N/A,0.001
537351.cif,413,N/A,0.002
1820586.cif,304,N/A,0.002
1008306.cif,394,N/A,0.002
1719722.cif,268,N/A,0.001
1804424.cif,284,N/A,0.002
1606164.cif,206,N/A,0.001
537345.cif,413,N/A,0.002
1228708.cif,108,N/A,0.001
535234.cif,175,N/A,0.002
1831312.cif,212,N/A,0.001
1406645.cif,380,N/A,0.003
1054492.cif,266,N/A,0.002
1406123.cif,212,N/A,0.002
1828125.cif,266,N/A,0.003
1728500.cif,498,N/A,0.003
1228091.cif,212,N/A,0.001
1128997.cif,212,N/A,0.001
1406137.cif,332,N/A,0.002
1120313.cif,228,N/A,0.001
549116.cif,212,N/A,0.001
1925401.cif,206,N/A,0.002
1007960.cif,326,N/A,0.003
1226902.cif,180,N/A,0.001
1625024.cif,228,N/A,0.001
1007948.cif,326,N/A,0.003
1000799.cif,296,N/A,0.002
537392.cif,212,N/A,0.002
1420872.cif,414,N/A,0.002
1043878.cif,307,N/A,0.002
1821897.cif,228,N/A,0.001
1228913.cif,212,N/A,0.001
312413.cif,212,N/A,0.001
1937039.cif,183,N/A,0.001
1043879.cif,307,N/A,0.002
536099.cif,233,N/A,0.001
1937038.cif,296,N/A,0.002
1920544.cif,266,N/A,0.002
312412.cif,212,N/A,0.001
1221088.cif,240,N/A,0.001
1007949.cif,326,N/A,0.003
312406.cif,212,N/A,0.001
537393.cif,212,N/A,0.001
1120312.cif,300,N/A,0.002
1430484.cif,212,N/A,0.002
1629179.cif,300,N/A,0.002
1406136.cif,212,N/A,0.001
1228090.cif,212,N/A,0.001
300994.cif,169,N/A,0.001
1831307.cif,212,N/A,0.001
1412625.cif,193,N/A,0.002
1007961.cif,326,N/A,0.002
1952850.cif,175,N/A,0.002
551758.cif,212,N/A,0.001
1406122.cif,212,N/A,0.001
1128982.cif,356,N/A,0.002
1410973.cif,332,N/A,0.002
537344.cif,413,N/A,0.002
1804425.cif,284,N/A,0.002
535235.cif,175,N/A,0.002
1013733.cif,272,N/A,0.001
1406863.cif,296,N/A,0.002
1322224.cif,212,N/A,0.002
1719723.cif,268,N/A,0.001
1008307.cif,228,N/A,0.001
537350.cif,413,N/A,0.002
1606171.cif,233,N/A,0.002
301491.cif,332,N/A,0.002
300957.cif,212,N/A,0.001
1729810.cif,180,N/A,0.001
1606159.cif,293,N/A,0.002
1406693.cif,495,N/A,0.003
1435259.cif,266,N/A,0.002
1048079.cif,466,N/A,0.004
460220.cif,296,N/A,0.002
1322218.cif,212,N/A,0.002
458967.cif,332,N/A,0.002
314088.cif,180,N/A,0.001
1504084.cif,267,N/A,0.002
1830227.cif,267,N/A,0.002
1006841.cif,323,N/A,0.002
1231099.cif,233,N/A,0.002
1824534.cif,356,N/A,0.002
1636267.cif,450,N/A,0.003
537185.cif,212,N/A,0.002
1236090.cif,217,N/A,0.002
300566.cif,212,N/A,0.002
1415406.cif,360,N/A,0.002
1430876.cif,228,N/A,0.001
557665.cif,212,N/A,0.002
537191.cif,212,N/A,0.001
1140814.cif,228,N/A,0.001
1803821.cif,369,N/A,0.003
381078.cif,228,N/A,0.001
1628703.cif,394,N/A,0.002
537807.cif,228,N/A,0.001
1602840.cif,402,N/A,0.002
1229832.cif,332,N/A,0.002
1217704.cif,266,N/A,0.002
1933060.cif,175,N/A,0.002
1008688.cif,212,N/A,0.001
459112.cif,212,N/A,0.002
1955483.cif,346,N/A,0.003
535976.cif,296,N/A,0.002
1042781.cif,466,N/A,0.004
548779.cif,212,N/A,0.002
459106.cif,212,N/A,0.002
1614950.cif,228,N/A,0.001
1405629.cif,448,N/A,0.003
1217710.cif,261,N/A,0.002
1020110.cif,317,N/A,0.002
1260598.cif,333,N/A,0.002
1211361.cif,183,N/A,0.002
1320625.cif,286,N/A,0.002
1013531.cif,332,N/A,0.003
1831844.cif,210,N/A,0.002
1008111.cif,212,N/A,0.002
548792.cif,332,N/A,0.002
548786.cif,212,N/A,0.002
1007236.cif,206,N/A,0.001
1217937.cif,160,N/A,0.002
1531567.cif,326,N/A,0.003
1001121.cif,212,N/A,0.002
1612448.cif,228,N/A,0.001
1231066.cif,233,N/A,0.002
1803612.cif,296,N/A,0.002
1232209.cif,500,N/A,0.003
1627395.cif,206,N/A,0.002
460750.cif,212,N/A,0.001
301693.cif,183,N/A,0.002
460744.cif,394,N/A,0.003
1008139.cif,394,N/A,0.003
1042756.cif,180,N/A,0.001
536270.cif,212,N/A,0.002
1321513.cif,284,N/A,0.002
1803606.cif,296,N/A,0.002
1430137.cif,206,N/A,0.002
1231072.cif,233,N/A,0.002
1013486.cif,284,N/A,0.002
1042811.cif,223,N/A,0.002
557705.cif,206,N/A,0.002
548631.cif,212,N/A,0.002
1013492.cif,284,N/A,0.002
300374.cif,212,N/A,0.002
538498.cif,333,N/A,0.002
1008924.cif,212,N/A,0.002
1963045.cif,333,N/A,0.002
459066.cif,212,N/A,0.002
311523.cif,212,N/A,0.001
1243235.cif,175,N/A,0.002
1013445.cif,183,N/A,0.001
1008703.cif,296,N/A,0.002
1820183.cif,228,N/A,0.001
1612500.cif,212,N/A,0.001
1008065.cif,464,N/A,0.002
459099.cif,212,N/A,0.001
1007356.cif,175,N/A,0.002
301903.cif,334,N/A,0.002
535625.cif,466,N/A,0.004
1604404.cif,332,N/A,0.002
537032.cif,175,N/A,0.002
538301.cif,183,N/A,0.001
1640252.cif,440,N/A,0.002
1008071.cif,300,N/A,0.002
1324245.cif,261,N/A,0.002
1229775.cif,233,N/A,0.002
1008717.cif,296,N/A,0.002
537740.cif,240,N/A,0.002
1234042.cif,175,N/A,0.002
1718005.cif,266,N/A,0.002
1645464.cif,212,N/A,0.002
1231112.cif,272,N/A,0.001
1142622.cif,386,N/A,0.002
1908141.cif,296,N/A,0.002
1626841.cif,266,N/A,0.002
303696.cif,296,N/A,0.002
539023.cif,334,N/A,0.002
1907514.cif,206,N/A,0.002
548802.cif,466,N/A,0.004
1008059.cif,228,N/A,0.001
379648.cif,212,N/A,0.002
536304.cif,212,N/A,0.001
1430043.cif,429,N/A,0.002
539751.cif,334,N/A,0.002
303682.cif,421,N/A,0.003
1229749.cif,296,N/A,0.002
1231106.cif,272,N/A,0.001
555310.cif,296,N/A,0.002
1901398.cif,426,N/A,0.002
1013684.cif,199,N/A,0.002
380004.cif,304,N/A,0.002
1960014.cif,212,N/A,0.002
1007829.cif,206,N/A,0.002
300162.cif,212,N/A,0.002
555476.cif,316,N/A,0.001
1816828.cif,267,N/A,0.002
1227599.cif,284,N/A,0.002
1964266.cif,194,N/A,0.002
300176.cif,212,N/A,0.002
1322393.cif,206,N/A,0.002
1936246.cif,268,N/A,0.001
1011939.cif,333,N/A,0.002
1627020.cif,304,N/A,0.002
380986.cif,316,N/A,0.002
1008298.cif,300,N/A,0.002
1602288.cif,206,N/A,0.002
301526.cif,228,N/A,0.001
1612925.cif,183,N/A,0.001
1802861.cif,212,N/A,0.001
1960028.cif,212,N/A,0.001
1963535.cif,272,N/A,0.001
1248162.cif,228,N/A,0.001
1201204.cif,284,N/A,0.002
