CIF file,Number of atoms in supercell,Min distance,Processing time (s)
535229.cif,175,N/A,0.002
1144105.cif,296,N/A,0.002
460214.cif,296,N/A,0.002
1013707.cif,212,N/A,0.002
1816773.cif,267,N/A,0.002
1324675.cif,304,N/A,0.003
1606151.cif,233,N/A,0.002
1804411.cif,206,N/A,0.002
1141733.cif,228,N/A,0.002
537370.cif,332,N/A,0.002
1928689.cif,206,N/A,0.002
1141727.cif,228,N/A,0.001
1606145.cif,233,N/A,0.002
537364.cif,212,N/A,0.002
1610727.cif,414,N/A,0.003
1008333.cif,482,N/A,0.003
1007000.cif,261,N/A,0.002
1322210.cif,212,N/A,0.002
1013713.cif,300,N/A,0.002
1638915.cif,402,N/A,0.002
1007955.cif,326,N/A,0.004
1248036.cif,212,N/A,0.01
301466.cif,206,N/A,0.003
1215443.cif,183,N/A,0.002
1406116.cif,212,N/A,0.002
1965762.cif,333,N/A,0.002
301472.cif,206,N/A,0.002
1826883.cif,228,N/A,0.001
1948828.cif,180,N/A,0.001
1833530.cif,206,N/A,0.002
1007969.cif,326,N/A,0.003
1715844.cif,356,N/A,0.002
1240330.cif,296,N/A,0.002
300988.cif,169,N/A,0.001
461693.cif,413,N/A,0.002
1606186.cif,233,N/A,0.002
302147.cif,212,N/A,0.001
1405345.cif,456,N/A,0.003
312355.cif,296,N/A,0.002
1606187.cif,233,N/A,0.002
1128753.cif,284,N/A,0.002
302146.cif,212,N/A,0.002
461692.cif,466,N/A,0.004
300989.cif,169,N/A,0.001
1008497.cif,300,N/A,0.002
1405344.cif,456,N/A,0.002
1212463.cif,193,N/A,0.002
1715845.cif,356,N/A,0.002
1007968.cif,326,N/A,0.003
1240331.cif,236,N/A,0.002
1141929.cif,402,N/A,0.002
301473.cif,206,N/A,0.002
1120333.cif,199,N/A,0.002
1406117.cif,212,N/A,0.001
1833531.cif,178,N/A,0.001
1231286.cif,300,N/A,0.002
1826882.cif,180,N/A,0.001
1007954.cif,326,N/A,0.003
1412176.cif,199,N/A,0.002
301467.cif,206,N/A,0.002
1007001.cif,394,N/A,0.002
1128948.cif,450,N/A,0.003
1013074.cif,222,N/A,0.001
1606144.cif,233,N/A,0.002
1638914.cif,402,N/A,0.002
1013712.cif,300,N/A,0.002
551786.cif,212,N/A,0.001
1322211.cif,212,N/A,0.001
382791.cif,175,N/A,0.002
1816772.cif,267,N/A,0.002
1606150.cif,233,N/A,0.002
1141732.cif,228,N/A,0.001
1606178.cif,233,N/A,0.001
460215.cif,296,N/A,0.002
1228714.cif,456,N/A,0.002
1144104.cif,296,N/A,0.002
535228.cif,175,N/A,0.002
1008468.cif,394,N/A,0.002
1007997.cif,284,N/A,0.002
1837958.cif,284,N/A,0.002
1010233.cif,212,N/A,0.002
458946.cif,228,N/A,0.001
300962.cif,212,N/A,0.001
1925390.cif,413,N/A,0.002
1235751.cif,375,N/A,0.003
1233877.cif,206,N/A,0.002
1803814.cif,296,N/A,0.002
1950280.cif,212,N/A,0.002
1411133.cif,228,N/A,0.001
300235.cif,261,N/A,0.002
1612496.cif,228,N/A,0.001
311338.cif,212,N/A,0.002
300553.cif,272,N/A,0.001
1415433.cif,268,N/A,0.001
1042788.cif,211,N/A,0.002
300547.cif,272,N/A,0.001
1415427.cif,402,N/A,0.002
1200271.cif,300,N/A,0.002
1411127.cif,228,N/A,0.001
1211354.cif,413,N/A,0.002
1024343.cif,206,N/A,0.002
1928307.cif,326,N/A,0.002
559127.cif,212,N/A,0.001
1222946.cif,331,N/A,0.002
1815092.cif,466,N/A,0.003
1833055.cif,206,N/A,0.002
1824529.cif,356,N/A,0.002
1907482.cif,233,N/A,0.002
535957.cif,296,N/A,0.002
535943.cif,296,N/A,0.002
1627363.cif,297,N/A,0.002
1621074.cif,212,N/A,0.001
1825145.cif,175,N/A,0.002
459641.cif,212,N/A,0.001
1538210.cif,215,N/A,0.002
1940736.cif,180,N/A,0.002
1008130.cif,212,N/A,0.001
461453.cif,326,N/A,0.002
460995.cif,160,N/A,0.002
1933914.cif,466,N/A,0.003
460759.cif,261,N/A,0.002
1831871.cif,210,N/A,0.001
1007217.cif,448,N/A,0.002
302393.cif,370,N/A,0.003
1907469.cif,77,N/A,0.001
1232200.cif,175,N/A,0.002
538240.cif,212,N/A,0.002
312180.cif,228,N/A,0.001
1245088.cif,228,N/A,0.001
1233678.cif,296,N/A,0.002
1013504.cif,212,N/A,0.001
1803633.cif,212,N/A,0.001
459696.cif,332,N/A,0.002
1810897.cif,160,N/A,0.003
1818213.cif,414,N/A,0.002
462172.cif,394,N/A,0.003
1225998.cif,228,N/A,0.001
1948342.cif,175,N/A,0.002
1944578.cif,228,N/A,0.001
1818207.cif,296,N/A,0.002
1730810.cif,296,N/A,0.002
459682.cif,212,N/A,0.001
1615312.cif,450,N/A,0.003
1227631.cif,266,N/A,0.002
560771.cif,233,N/A,0.002
1803627.cif,212,N/A,0.001
1731449.cif,180,N/A,0.002
1008939.cif,356,N/A,0.003
300427.cif,206,N/A,0.002
1625428.cif,434,N/A,0.003
1008087.cif,199,N/A,0.002
1121367.cif,286,N/A,0.002
1121373.cif,286,N/A,0.002
1008093.cif,199,N/A,0.002
300355.cif,212,N/A,0.002
1210116.cif,233,N/A,0.001
1144299.cif,296,N/A,0.002
1824313.cif,500,N/A,0.002
1010192.cif,296,N/A,0.002
1833647.cif,233,N/A,0.002
546173.cif,212,N/A,0.002
1937435.cif,414,N/A,0.002
540264.cif,270,N/A,0.002
1406261.cif,261,N/A,0.002
548638.cif,212,N/A,0.002
1102596.cif,268,N/A,0.001
301711.cif,382,N/A,0.002
1234922.cif,212,N/A,0.002
1406275.cif,183,N/A,0.001
1627217.cif,206,N/A,0.002
1822038.cif,323,N/A,0.002
381111.cif,436,N/A,0.003
1409620.cif,360,N/A,0.002
1608592.cif,332,N/A,0.002
1833653.cif,233,N/A,0.001
315002.cif,212,N/A,0.001
300369.cif,212,N/A,0.001
1008722.cif,296,N/A,0.002
1251823.cif,326,N/A,0.002
1810061.cif,495,N/A,0.002
1537057.cif,233,N/A,0.002
1411084.cif,402,N/A,0.002
1148312.cif,194,N/A,0.002
1122875.cif,212,N/A,0.002
1633289.cif,446,N/A,0.003
1122861.cif,228,N/A,0.001
1008050.cif,228,N/A,0.001
1007363.cif,175,N/A,0.002
538334.cif,212,N/A,0.002
300396.cif,212,N/A,0.001
1227779.cif,212,N/A,0.002
1721855.cif,332,N/A,0.002
1927183.cif,180,N/A,0.001
1728859.cif,160,N/A,0.001
1008078.cif,300,N/A,0.002
1223251.cif,360,N/A,0.002
1024592.cif,307,N/A,0.002
539016.cif,334,N/A,0.002
1024586.cif,307,N/A,0.002
379669.cif,304,N/A,0.002
1238103.cif,206,N/A,0.002
1718030.cif,419,N/A,0.003
1010145.cif,212,N/A,0.001
1810049.cif,316,N/A,0.001
1730964.cif,206,N/A,0.002
1723529.cif,150,N/A,0.001
1008285.cif,326,N/A,0.003
1612086.cif,296,N/A,0.002
461080.cif,180,N/A,0.001
1147586.cif,386,N/A,0.002
1214172.cif,268,N/A,0.001
1960021.cif,212,N/A,0.001
300157.cif,212,N/A,0.001
554985.cif,466,N/A,0.003
555325.cif,296,N/A,0.002
1411537.cif,364,N/A,0.002
1410629.cif,228,N/A,0.001
1049583.cif,456,N/A,0.002
1005945.cif,266,N/A,0.002
1013699.cif,183,N/A,0.001
1960009.cif,212,N/A,0.001
1963500.cif,175,N/A,0.002
1828703.cif,175,N/A,0.002
1248157.cif,189,N/A,0.002
1816821.cif,267,N/A,0.002
1802854.cif,334,N/A,0.002
1005951.cif,127,N/A,0.001
1232189.cif,253,N/A,0.001
301513.cif,296,N/A,0.002
555319.cif,296,N/A,0.002
1143045.cif,450,N/A,0.003
1008246.cif,228,N/A,0.001
537577.cif,212,N/A,0.002
1711558.cif,332,N/A,0.002
300180.cif,212,N/A,0.002
