Entry,Compound,Shortest distance,Filtered,Number of atoms
1009986,FeSb2,2.58799,No,90
1611362,RuGe,2.46668,No,120
1920001,FeSn2,2.66,No,250
557122,FeSn,2.64999,No,163
457678,CoGa3,2.39028,No,270
530191,Co0.96Sn0.04,2.52719,No,120
1822158,Fe11Si5,2.43629,No,347
1500002,CoSn,2.61887,No,163
532792,FeSi,2.27936,No,120
1601429,CoSb,2.586,No,98
1630186,NiGa5,2.4304,No,486
1720544,FeSi,2.27895,No,120
261973,Pt3Ga,2.43814,No,396
1720550,FeSi,2.27703,No,120
1645486,FeSi,2.28538,No,120
1024545,NiSi,2.23457,No,120
1819723,Ni3Sn4,2.53868,No,210
1229754,Fe1.7Ge,2.32415,No,189
455866,FeSn2,2.6625,No,250
1223245,PdSi,2.40905,No,152
1928059,Fe0.8Ga0.2,2.5132,No,60
450249,CoIn3,2.61245,No,270
1247502,Fe0.81Ga0.19,2.44199,No,136
1251412,Fe0.92Si2,2.34923,No,81
1635377,FeSb2,2.50015,No,90
527002,Pt5Ga3,2.58823,No,333
261218,PdGe,2.45498,No,152
1959677,Ni3Sn,2.61826,No,202
1008520,FeSb,2.5605,No,98
1635388,FeSb2,2.60852,No,250
1957896,FeGa3,2.36964,No,270
260112,CoGe,2.36929,No,120
1928924,Ni3Sn,5e-05,Yes,313
531884,Pd3Si,2.24275,No,272
529013,Pt2Ga,2.54877,No,490
1605505,NiSi,2.28081,No,62
1534774,FeGa3,2.18912,No,370
1940450,IrGe,2.48116,No,152
250957,PdIn,2.81414,No,62
525639,Ni1.5Ge,2.28859,No,189
1713363,Co0.9Ge2,2.4408,No,360
1012540,Ni0.97Sb0.03,2.51376,No,120
527984,Fe0.77Si0.23,2.45517,No,60
1008518,FeSb2,2.58022,No,90
1605501,NiSi,2.27688,No,62
1717844,PtSi,2.44219,No,152
1717850,Ni3Ge,2.52225,No,113
452328,RhSn2,2.78749,No,250
1635373,FeSb2,2.55935,No,90
1963510,Ni3Si,2.50202,No,113
527947,CoSn2,2.7285,No,250
549046,Pd0.975Si0.025,2.75347,No,120
452314,NiIn,2.26799,No,163
1821723,FeSi,2.27885,No,120
1730790,NiSi2,2.34571,No,278
1342867,FeSb2,2.58098,No,90
452658,Rh2Si,2.40813,No,228
1720554,FeSi,2.27853,No,120
532806,NiSi2,2.3296,No,278
1603399,PtSn,2.716,No,98
261977,Ru5Si3,2.30263,No,312
1720540,FeSi,2.27832,No,120
528692,Pt6Si5,2.223,No,418
1810930,Fe3Si0.97,2.44911,No,466
1630182,NiGa,2.49787,No,62
1713029,IrGe4,2.4318,No,225
1630196,FeSn2,2.6585,No,250
1042773,Ir4Si5,2.29944,No,342
1240862,NiSi2,2.34086,No,278
1941376,CoSi2,2.31877,No,278
261156,PdSn,2.62714,No,152
526907,Co1.5Sn,2.3648,No,189
1826474,Ni2Si,2.32229,No,228
1413708,Fe0.83Si2,2.35405,No,81
450107,Ir3Si,2.43064,No,396
530181,Ni0.97In0.03,2.51305,No,120
1245073,Ni2Si,2.31057,No,228
1614961,Pd2Ga,2.53394,No,228
307562,Fe3Si,2.44868,No,466
530368,PdGa,2.48907,No,120
1121940,Ir2Ga9,2.45908,No,330
1947505,NiSb,2.56785,No,98
530432,NiGa,2.49934,No,62
458003,CoSb2,2.50674,No,180
1957925,Co1.17Ga0.83,2.49813,No,109
1240309,Ni3Si,2.48258,No,113
1627165,CoSi,2.31151,No,120
527827,Pd2Si,2.40086,No,206
1804399,PtSb,2.743,No,98
1825431,Fe0.625Ga0.375,2.52532,No,60
1623317,Pd5In3,2.67826,No,312
534696,Fe1.78Ge,2.32727,No,189
1240308,Ni0.91Si0.09,2.49134,No,120
527826,Pd3Si,2.34662,No,272
558764,Fe1.67Ge,2.3215,No,189
1953203,CoSi,2.26256,No,120
261341,Pt3In,2.75779,No,113
530369,PtGa,2.49925,No,120
1634681,CoSn,2.61954,No,163
1614960,Pd7Ga3,2.50754,No,314
450106,IrGe,2.43454,No,152
1248556,Ni2Si,2.31339,No,228
452739,FeGe,2.39236,No,120
532973,Ni1.7Ge,2.26318,No,189
1407740,Fe5Si3,2.35752,No,334
261157,IrSn,2.68503,No,98
532740,RuGa2,2.55596,No,360
1042772,IrSi,2.41088,No,152
1248344,Fe0.92Si0.08,2.47838,No,60
1410412,CoIn3,2.60242,No,270
1929632,Fe0.94Si0.06,2.48791,No,60
1929154,Ni5.12Ga2.88,2.41473,No,451
1607854,Ni3Sn4,2.53664,No,210
1720541,FeSi,2.27874,No,120
544991,Fe1.56Ge,2.30533,No,189
1720555,FeSi,2.2776,No,120
452659,Rh5Si3,2.33494,No,312
261976,Ru2Si,2.43039,No,228
1815120,CoSi,2.43889,No,62
1730791,NiSi,2.23201,No,152
527946,FeSn2,2.6605,No,250
1963505,NiSi2,2.34233,No,278
1635372,FeSb2,2.57245,No,90
455320,NiSb,2.57,No,98
452329,RhSn2,2.70522,No,416
1717851,Pt3Sn,2.83408,No,113
1717845,NiGe,2.32945,No,152
451152,NiSi,2.28704,No,152
1238476,FeSi2,2.28569,No,81
527985,Fe0.88Ge0.12,2.50021,No,60
1012541,NiSb,2.5715,No,98
1815322,Rh2Ga9,2.42031,No,330
529016,Pt2.67Ga1.33,2.72988,No,211
1605514,NiSi,1.63371,No,152
454943,Ni0.92Si0.08,2.4883,No,120
1928921,Fe1.27Sn,2.44274,No,189
527005,Fe3Ga,2.617,No,113
1928923,FeSn2,2.6615,No,250
1605502,NiSi,2.15836,No,152
1140577,FeGe,2.39476,No,120
529014,Pt5.33In2.67,2.69628,No,451
261223,PdSi,2.38597,No,152
1534773,FeGa3,2.3675,No,270
534737,RuSb2,2.63607,No,90
1301578,PtSn4,2.76123,No,336
1940490,Co0.008Si0.992,2.35112,No,436
1717847,IrGe,2.47326,No,152
450500,Ni1.5Si,2.20545,No,189
1821720,Fe3Si,2.4437,No,466
1251401,Pt2Sn3,2.67524,No,261
1730793,Ni2Si,2.3139,No,228
450925,Fe1.34Si0.66,2.43352,No,109
1229753,Fe2.8Ge1.2,2.59225,No,211
1251818,PdSn3,2.80483,No,480
1819718,Ni0.896Sn0.104,2.55407,No,120
526643,PdIn,2.81111,No,62
1012999,Ni3In,5e-05,Yes,313
1823490,IrSi2,2.45517,No,278
1720543,FeSi,2.27771,No,120
261960,Pt0.95Ge0.05,2.77185,No,120
547242,Ni3Sn,5e-05,Yes,313
1720557,FeSi,2.2783,No,120
382423,Pt6Si5,2.21935,No,418
458410,Rh0.93Sb0.07,2.72377,No,120
1810927,Fe3Si,2.45301,No,466
260277,PdSn4,2.7499,No,300
1630195,Fe1.67Sn,2.43985,No,189
457858,IrSb2,2.52986,No,180
261155,Pd1.5Sn,2.53396,No,189
1042770,Ir3Si,2.4267,No,396
452707,Pd2Si,2.42375,No,206
1614962,Pd2.10Ga0.90,2.56514,No,304
1907485,FeSn,2.65009,No,163
1245070,NiSi2,2.33965,No,278
530182,Ni0.95Sn0.05,2.52295,No,120
554821,Fe0.9517Sn0.0483,2.51502,No,60
1221079,Pt6Si5,2.21493,No,418
1122286,Ni0.77Sn,2.2949,No,254
1613200,Ni5Ge3,2.13511,No,494
1824076,PtSb,2.73915,No,98
527818,FeSi,2.28292,No,120
1825432,Fe0.725Ga0.275,2.60993,No,120
534694,Ni1.86Ge,2.27877,No,189
1831321,Fe0.80Si0.20,2.47977,No,60
1816952,FeSn2,2.6615,No,250
1816953,FeSn,2.64899,No,163
556004,Fe3Si,2.44868,No,466
534695,Co1.78Ge,2.26607,No,189
1802932,CoGa3,2.36147,No,270
456762,FeGa3,2.3922,No,270
530430,Ni3Ga,2.53497,No,113
1122287,Ni0.85Sn,2.3832,No,254
1221078,Pt2Si,2.46087,No,152
1952888,FeSb2,2.57289,No,90
1245071,NiSi,2.23335,No,152
530183,Ni0.9Ge0.1,2.4982,No,120
1602873,NiSb,2.566,No,98
450105,Pd0.83Ge0.17,2.66908,No,60
531289,NiSb,2.566,No,98
1614963,Pd2.14Ga0.86,2.57007,No,304
1251038,Pt3Ge2,2.48926,No,328
1042771,Ir1.5Si,2.28911,No,189
1233124,NiSi,2.27637,No,152
261154,Pd0.75Sn0.25,2.80721,No,120
1240860,Ni2Si,2.30305,No,228
1830599,Ni3Ga,2.53709,No,113
457859,RhSb2,2.51598,No,180
1011301,NiIn,2.62229,No,163
1931877,Fe0.81Ga0.19,2.52421,No,60
1833899,Ni1.38Sn,2.3514,No,189
261975,Pt3Ga,2.75488,No,113
1718977,Pt3Sb2,2.59135,No,314
382422,Pt2Si,2.43071,No,206
1720556,FeSi,2.27804,No,120
1835218,Fe3Ge,2.59508,No,113
1720542,FeSi,2.27822,No,120
1223243,Pd3Si,2.24366,No,272
1819719,Ni3Sn,5e-05,Yes,313
1538438,NiIn,2.61834,No,163
1229752,Fe3Ge,5e-05,Yes,313
527951,Fe3Sn,2.68832,No,202
1251372,IrIn3,2.67443,No,270
1821721,Fe1.392Si0.608,2.43629,No,109
452316,NiIn,2.67861,No,62
1963506,NiSi,2.21002,No,152
1717846,PdGe,2.45498,No,152
527979,Fe1.67Sn,2.4387,No,189
1534772,FeGa3,2.25245,No,370
454968,Co2Si,2.31082,No,228
531882,Pd3Si0.6,2.06939,No,360
529015,Ni5Ga3,2.41452,No,333
1928922,FeSn,2.64349,No,163
250969,PtSn2,2.7856,No,278
527004,Fe0.7Ga0.3,2.59232,No,136
1048159,Ni2In3,2.6434,No,127
534751,PdIn,2.81457,No,62
453090,Ni0.92Sb0.08,2.53851,No,120
1929483,Pd3In,2.76475,No,332
527922,Co0.87Ge0.13,2.51235,No,120
450214,Pt0.985Si0.015,2.77327,No,120
1240542,Ni0.78Sn,2.32171,No,254
531359,Fe1.17Sb,2.35989,No,189
1820699,Fe5Si3,2.2624,No,334
534553,RhSn,2.66146,No,120
1640548,NiSi2,2.34004,No,278
533566,Co1.5Sn0.5,2.54524,No,109
1250590,CoSn,2.61267,No,163
456498,NiSb,2.57,No,98
1720519,FeSi,2.28244,No,120
1251103,Ni5Sb2,2.55058,No,420
1720525,FeSi,2.28071,No,120
1838029,Pd2In3,2.75058,No,127
1126469,CoSn2,2.7315,No,250
1815805,Fe1.297Sb,2.38275,No,189
1819795,Fe0.9Ga0.1,2.50332,No,60
1720531,FeSi,2.27913,No,120
1020018,CoGe,2.33591,No,254
526816,FeSb2,2.57869,No,90
1937285,Co2Si,2.32749,No,228
1324359,RuGe,2.45718,No,120
1931838,Pd5In3,2.53043,No,312
1720492,FeSi,2.30856,No,120
1946326,Pt3Sn,2.82984,No,113
1804673,FeSb,2.5675,No,98
